Month,Headcount,Number of billable resources,Number of benched resources,Number of new hires,Number of demanded resources,Number of demanded resources - fulfilled,Number of demanded resources - unfulfilled,Number of resignations (billable resources),Number of resignations (benched resources),Number of resignations (billable resources) - replaced,Number of planned hires
1,9833,9566,267,0,190,26,164,162,5,98,297
2,9669,9475,194,0,325,26,299,159,5,42,443
3,9806,9588,218,297,462,132,330,157,4,138,587
4,10103,9775,328,443,289,192,97,144,3,139,390
5,10524,9827,697,587,104,59,45,160,7,153,243
6,10765,10155,610,390,330,330,0,149,0,147,292
7,10837,10465,372,243,347,315,32,166,6,161,462
8,10963,10692,271,292,371,238,133,157,9,146,553
9,11250,11045,205,462,409,354,55,167,11,166,480
10,11643,11462,181,553,450,419,31,159,4,157,356
11,11942,11777,165,480,323,315,8,178,4,178,331
12,12000,11842,158,236,189,65,124,178,0,178,469
